Industry_Type,Region,Country,Year,Co2_Emissions_MetricTons,Energy_Consumption_TWh,Automobile_Co2_Emissions_MetricTons,Industrial_Co2_Emissions_MetricTons,Agriculture_Co2_Emissions_MetricTons,Domestic_Co2_Emissions_MetricTons,Population_Millions,GDP_Billion_USD,Urbanization_Percentage,Renewable_Energy_Percentage,Industrial_Growth_Percentage,Transport_Growth_Percentage
Mining,Oceania,India,2007,133.36,439.05,16.1,174.42,41.9,15.16,712.85,1992.73,94.45,72.38,-3.55,3.17
Manufacturing,Oceania,India,2011,92.15,286.65,43.62,136.61,46.91,16.43,943.89,7515.53,97.75,14.83,14.28,5.52
Construction,Oceania,India,2004,233.9,169.53,88.06,102.8,34.81,10.98,331.09,20221.89,30.28,45.87,12.3,7.19
Construction,Oceania,India,2015,98.33,324.88,15.41,189.04,4.88,1.68,804.87,24245.35,50.52,84.72,-4.79,4.66
Construction,Oceania,India,2006,93.05,141.14,75.28,93.43,4.04,15.61,1365.4,8936.76,47.45,26.53,3.9,2.22
Construction,Oceania,India,2020,159.41,921.41,16.66,86.02,15.15,18.42,1181.31,2765.2,23.01,55.5,8.26,4.22
Energy,Oceania,India,2008,260.49,465.14,86.87,122.09,17.35,4.43,1006.48,16729.74,26.77,65.69,3.6,0.47
Manufacturing,Oceania,India,2018,106.76,89.88,0.75,138.2,5.52,5.72,69.91,15688.53,76.89,78.02,0.27,9.62
Energy,Oceania,India,2011,52.47,782.26,94.6,84.71,7.81,14.42,831.94,21473.56,48.91,51.56,5.98,-3.81
Mining,Oceania,India,2021,121.74,541.48,40.09,178.3,16.07,14.14,552.52,4578.87,83.18,39.09,14.73,-2.76
Construction,Oceania,India,2014,257.34,156.52,26.21,138.48,2.06,0.62,401.24,15960.3,53.92,44.4,6.19,7.11
Construction,Oceania,India,2011,244.05,311.26,14.09,90.76,18.15,0.14,361.98,15281.36,26.89,4.42,1.6,1.01
Mining,Oceania,India,2021,255.89,451.68,32.95,87.66,46.67,3.84,161.81,22701.31,77.49,51.72,0.59,4.46
Construction,Oceania,India,2007,135.97,180.02,22.68,28.63,14.69,15.93,1062.52,6677.15,73.11,78.28,11.42,-0.54
Mining,Oceania,India,2000,221.12,826.23,82.09,74.2,11.86,9.93,856.25,12321.6,66.31,8.01,8.74,-2.32
Manufacturing,Oceania,India,2000,198.54,342.39,36.22,179.11,11,5.34,646.2,8230.6,42.26,82.74,-6.5,7.11
Manufacturing,Oceania,India,2011,249.69,941.1,33.6,27.72,10.52,12.12,1405.97,13555.26,67.78,90.8,11.98,-0.69
Construction,Oceania,India,2021,266.32,457.46,47.01,34.92,44.46,16.88,717.85,12837.88,86.93,29.85,10.65,3.03
Construction,Oceania,India,2015,228.09,261.51,87.01,174.6,26.81,18.76,740.26,704.32,70.55,42.45,7.28,8.74
Manufacturing,Oceania,India,2002,151.91,914.57,25.15,162.93,47.35,13.37,68.43,16209.46,96.27,71.78,-6.54,9.51
Manufacturing,Oceania,India,2015,191.02,357.84,1.32,154.02,45.71,11.71,906.05,19487.51,85.37,94.49,5.1,7.3
Energy,Oceania,India,2010,287.44,533.95,1.62,171.92,33.22,7.71,983.37,16669.67,99.72,84.03,1.62,-2.81
Construction,Oceania,India,2009,177.22,522.18,43.94,189.41,26.41,12.03,834.66,21422.31,75.56,40.24,-6.63,-0.19
Energy,Oceania,India,2006,167.2,102.89,81.21,170.25,31.76,10.46,334.93,22538.84,88.74,1.75,-2.61,-2.4
Manufacturing,Oceania,India,2002,187.15,200.31,75.88,149.08,12.67,2.09,1306.93,23811.4,29.23,83.39,2.93,-2.63
Mining,Oceania,India,2000,290.31,834.62,46.23,31.61,32.33,14.18,792.85,23557,31.4,72.97,8.77,-0.1
Mining,Oceania,India,2002,286.96,634.97,68.68,107.3,28.93,14.5,777.44,10248.7,48.45,5.04,-5.33,3.61
Construction,Oceania,India,2015,0.72,797.32,87.97,67.83,40.22,14.64,393.4,2346.91,58.28,4.04,5.74,1.59
Manufacturing,Oceania,India,2014,194.99,233.35,32.91,196.92,23.16,19.18,124.17,18949,89.1,45.87,4.64,3.89
Mining,Oceania,India,2016,60.25,193.73,79.43,26.04,8.36,17.08,1386.84,23111.95,43.63,96.46,4.92,-3.1
Energy,Oceania,India,2020,47.94,312,60.95,34.37,18.23,8.14,99.01,16940.01,70.6,41.67,-1.09,-3.96
Energy,Oceania,India,2007,127.36,543.64,80.37,190.98,19.66,19.09,454.98,6606.1,82.09,1.58,0.45,9.02
Manufacturing,Oceania,India,2008,191.35,140.75,49.77,15.94,14.66,6.42,1117.76,15358.52,97.77,63.26,10.25,4.19
Manufacturing,Oceania,India,2022,265.16,547.82,83.92,81.4,11.36,16.39,175.49,24040.39,76.54,96.51,-6.87,8.77
Manufacturing,Oceania,India,2004,253.86,496.58,76.11,76.37,3.9,19.96,1436.97,1100.2,30.07,58.16,-1.03,-0.5
Energy,Oceania,India,2022,248.86,990.98,56.51,83.77,16.48,7.79,425.12,24143.29,99.46,40.56,-5.61,1.8
Manufacturing,Oceania,India,2016,86.53,633.38,83.05,133,8.49,2.55,58.09,16089.69,88.55,21.04,-6.73,8.8
Energy,Oceania,India,2019,70.15,74.1,29.69,107.3,27.19,13.19,962.82,18764.74,90.22,65.33,8.16,-3.26
Energy,Oceania,India,2012,230.17,902.75,47.35,147.7,48.26,15.71,546.6,14068.51,59.25,29.51,-4.28,-1.37
Manufacturing,Oceania,India,2004,81.9,831.3,65.5,57.09,26.18,14.6,234.27,8737.84,54.03,6.67,-0.46,5.96
Manufacturing,Oceania,India,2004,258.45,407.4,73.8,114.99,36.24,19.24,1162.81,4704.78,65.62,52.45,-1.73,4.01
Mining,Oceania,India,2019,206.15,530.79,6.11,21.52,46.66,5.14,1475.19,20615.77,62.89,86.22,5.4,3.33
Energy,Oceania,India,2020,257.82,498.34,68.51,152.74,19.83,12.34,1027.47,18669.39,98.82,18.28,-2.12,-2.78
Mining,Oceania,India,2005,217.53,807.54,15.22,150.29,3.06,0.92,1486.29,16857.57,66.95,42.13,-7.32,-0.41
Energy,Oceania,India,2020,211.49,352.99,75.66,43.59,23.62,13.62,352.07,16392.63,59.29,11.69,4.64,-0.15
Manufacturing,Oceania,India,2005,118.75,799.07,94.31,170.56,21.91,9.69,707.17,26.78,45.83,56.16,9.9,1.66
Manufacturing,Oceania,India,2013,139.23,874.18,89.65,28.16,43.35,0.96,810.36,15748.63,72.59,48.15,6.32,5.48
Mining,Oceania,India,2016,68.38,783.98,24.88,182.68,8.4,2.03,1043.45,12347.21,42.16,30.34,-3.34,6.25
Mining,Oceania,India,2012,190.92,414.13,41.13,85.9,2.03,16.05,1119.35,17274.68,50.04,15.59,5.66,-3.09
Energy,Oceania,India,2000,136.86,625.74,68.3,157.2,47.04,18.08,822.72,12618.89,61.01,84.57,-2.68,4.11
Energy,Oceania,India,2016,218.51,837.42,30.77,95.2,17.16,19.58,1116.96,22013.1,70.24,68.62,7.88,-1.85
Manufacturing,Oceania,India,2009,21.65,860.35,73.12,70.58,29.79,0.31,1205.41,24069.88,88.54,84.06,-9.77,2.71
Energy,Oceania,India,2003,282.53,165.88,19.55,34.23,17.84,6.95,523.67,18308.18,30.62,40.79,-3.03,-0.67
Mining,Oceania,India,2005,70.42,745.34,24.46,19.63,47.64,11.68,706.32,4698.25,89.92,26.1,5.77,-2.14
Construction,Oceania,India,2017,130.68,502.22,60.36,56.12,22.08,17.07,1040.08,11848.56,40.23,54.37,8.59,-1.09
Construction,Oceania,India,2020,170.92,882.67,80.76,116.97,24.61,15.86,1235.83,17635.24,42.84,0.1,3.53,-3.86
Mining,Oceania,India,2002,0.73,544.92,34.5,51.52,20.39,9.33,305.77,16562.09,68.11,23.68,-1.71,-1.53
Manufacturing,Oceania,India,2014,102.24,19.87,69.72,90.91,44.1,4.51,1058.6,19878.72,68.89,35.43,-7.37,9.69
Mining,Oceania,India,2022,227.86,748.35,27.6,196.84,16.94,8.36,472.74,23586.54,95.49,78.82,6.81,4.03
Energy,Oceania,India,2017,103.96,852.47,49.97,43.98,26.61,19.56,729.71,4982.98,90.35,86.75,9.13,1.51
Construction,Oceania,India,2009,227.98,73,24.77,108.85,26.43,19.59,1363.91,7968.96,33.01,46.61,12.14,-2.84
Energy,Oceania,India,2016,279.75,194.68,42.35,78.19,6.05,19.81,678.59,10384.75,71.13,75.4,1.09,9.46
Construction,Oceania,India,2009,51.06,608.72,77.26,24.07,8.04,0.44,1170.26,14553.64,81.01,95.15,14.44,8.75
Construction,Oceania,India,2009,8.08,908.89,72.02,50.24,5.92,3.4,1104.07,14539.21,62.48,72.53,-7.27,5.48
Mining,Oceania,India,2017,27.83,517.66,96.92,157.09,21.61,14.88,330.73,15450.67,37.6,72.94,-0.37,7.92
Manufacturing,Oceania,India,2022,147.59,863.94,90.72,111.85,18.93,15.72,1034.9,7260.66,56.37,74.13,9.64,7.81
Manufacturing,Oceania,India,2016,266.22,656.48,63.57,30.63,29.06,6.46,1160.98,15768.89,89.83,54.63,-1.72,7.31
Manufacturing,Oceania,India,2010,16.71,401.58,52.35,187.43,45.01,10.3,1306.59,11270.61,77.59,4.45,12.9,7.87
Construction,Oceania,India,2021,76.28,387.54,34.47,187.53,17.14,10.81,835.71,24440.57,31.27,95.48,-2.75,-2.2
Mining,Oceania,India,2005,152.17,370.04,60.59,159.67,36.59,18.81,94.21,10053.78,98.61,43.34,-2.47,7.57
Mining,Oceania,India,2019,226.49,87.26,51.64,170.15,47.18,14.4,1117.12,16365.7,65.57,46.16,-2.7,5.74
Mining,Oceania,India,2017,185.51,389.69,29.47,144.67,12.27,0.83,457.93,19526.85,62.43,74.87,-9.36,-4.84
Energy,Oceania,India,2017,24.18,199.57,78.24,45.69,21.5,0.61,888.71,14492.59,95.78,60.4,8.93,2.39
Construction,Oceania,India,2017,268.24,506.86,43.79,162.37,26.82,9.13,317.68,5473.03,98.53,35.59,6.64,-3.04
Mining,Oceania,India,2007,226.85,458.31,54.13,110.58,46.48,1.43,235.52,8810.76,57.15,54.76,14.87,9.96
Mining,Oceania,India,2000,50.94,753.59,16.13,108.04,12.27,7.44,1184.35,3174.25,34.52,31.29,4.1,5.73
Construction,Oceania,India,2017,38.68,280.42,33.96,197.53,12.26,4.43,888.91,9166.21,48.9,50.92,-8.65,-3.2
Manufacturing,Oceania,India,2022,234.23,543.26,43.41,11.19,25.6,11.15,670.06,1176.66,91.07,90.78,-1.65,-4.87
Construction,Oceania,India,2007,253.26,340.12,3.81,92.87,14.26,4.41,139.54,11474.37,27.02,94.12,5.26,6.36
Energy,Oceania,India,2015,31.53,382.87,41.34,71.6,39.47,13.99,207.86,3626.84,87.97,15.61,9.45,-2.01
Construction,Oceania,India,2016,32.19,303.86,95.05,9.53,34.2,14.73,840.55,7054.18,95.67,32.31,-0.49,5.4
Energy,Oceania,India,2001,268.66,141.62,49.13,20.31,45.98,2.9,873.06,11050.07,20.93,73.21,14.96,4.03
Energy,Oceania,India,2002,144.97,963.85,65.88,103.73,22.12,13,1252.98,1310.16,39.6,72.43,1.65,0.32
Manufacturing,Oceania,India,2014,201.61,33.93,63.89,18.83,37.82,1.63,90.49,3214.33,96.71,65.84,5.74,-2.89
Manufacturing,Oceania,India,2014,145.25,458.54,95.81,116.26,3.72,8.63,1367.86,19954.69,95.2,78.98,-1.21,0.43
Manufacturing,Oceania,India,2001,230.97,529.61,1.32,25.77,36.12,16.08,837.93,23664.43,64.24,8.08,4.44,2.43
Mining,Oceania,India,2010,132.34,513.48,53.39,115.47,18.81,15.16,1219.18,16150.58,27.61,35.75,-0.09,5.26
Mining,Oceania,India,2017,143.76,288.17,58.42,73.18,3.43,7.62,156.69,17501.38,47.65,39.24,-1.37,-1.19
Mining,Oceania,India,2016,196.25,667.19,72.16,8.07,28.99,1.15,1301.64,15213.89,92.94,83.18,0.52,4.93
Energy,Oceania,India,2016,169.87,127.96,83.38,25.73,43.78,6.57,1235.64,21559.44,72.98,74.46,14.47,4.97
Manufacturing,Oceania,India,2012,236.1,929.44,5.67,119.43,5.21,15.2,866.13,24341.03,80.85,90.5,12.22,7.67
Energy,Oceania,India,2013,59.39,89.41,70.47,104.58,7.19,6.62,181.48,21658.53,48.94,75.21,-4.49,8.65
Energy,Oceania,India,2003,213,260.12,92.25,124.78,28.19,3.08,393.51,6996.54,33.22,34.81,-6.54,4.55
Manufacturing,Oceania,India,2004,91.71,583.92,82.3,114.79,6.13,0.57,804.64,9702.98,59.26,66.64,2.78,-1.71
Mining,Oceania,India,2008,104.02,737.81,20.88,68.25,48.12,12.58,6.24,20677.75,91.75,54.5,9.5,4.79
Energy,Oceania,India,2006,42.89,276.86,63.01,57.33,48.74,17.26,897.03,2106.1,21.3,15.77,7.75,-2.53
Manufacturing,Oceania,India,2000,178.18,290.35,62.37,185.43,15.83,13.21,950.27,23241.16,98.52,13.15,2.34,7.95
Construction,Oceania,India,2020,142.9,887.45,65.82,90.55,18.36,3.82,880.4,15505.5,97.07,28.24,5.43,-0.84
Construction,Oceania,India,2015,246.01,190.88,34.64,5.79,37.71,11.56,132.83,9690.22,50.69,36.99,8.22,9.8
Mining,Oceania,India,2004,188.73,703.35,58.11,25.02,20.78,2.73,74.33,5618.61,77.75,80.86,10.59,1.55
Mining,Oceania,India,2009,157.93,318.92,87.93,94.77,46.03,17.34,14.46,21575.69,59.68,57.85,5.81,1.87
Mining,Oceania,India,2010,33.93,823.24,87.56,199.53,44.19,2.61,1104.9,23071.07,58.93,65.51,-2.09,5.1
Mining,Oceania,India,2019,201.17,25.19,2.73,144.15,7.79,19.29,1379.54,10002.67,57.57,83.17,-2.33,-0.68
Mining,Oceania,India,2001,205.84,672.57,46.39,159.59,21.84,16.2,941.58,4904.07,33.58,55.52,-4.68,9.38
Mining,Oceania,India,2022,40.72,284.74,45.28,150.27,39.82,3.52,1062.61,3516.44,36.8,68.94,13.43,2.72
Mining,Oceania,India,2004,71.58,846.31,99.88,101.92,46.25,13.65,1252.37,11838.43,29.48,27.75,-0.42,8.88
Mining,Oceania,India,2003,127.63,422.05,42.51,167.74,23.54,5.45,5.63,23322.14,49.96,68.92,10.74,-3.76
Manufacturing,Oceania,India,2004,291.52,230.57,21.13,88.37,42.25,1.81,644.65,22535.69,61.96,17.05,9.69,8.61
Construction,Oceania,India,2013,50.95,805.75,56.39,52.13,32.13,14.94,1346.8,24103.61,63.23,97.33,9.4,6.02
Construction,Oceania,India,2011,211.43,457.54,40.64,106.09,20.67,19.52,338.52,1365.07,83.38,73.96,-7.33,2.72
Mining,Oceania,India,2006,78.12,802.26,97.37,152.23,42.05,19.23,1035.63,11729.82,88.87,42.76,-0.11,3.17
Construction,Oceania,India,2013,232.64,596.86,89.72,151.41,31.64,5.63,576.18,24045.4,35.7,27.89,10.42,2.82
Mining,Oceania,India,2017,63.62,578.94,75.22,181.61,17.64,2.4,979.19,19740.39,47.45,79.95,-7.92,4.27
Construction,Oceania,India,2011,33.2,227.98,87.32,179.42,46.26,17.05,153.93,22444.37,84.63,16.85,-7.05,5.73
Manufacturing,Oceania,India,2015,40.17,625.11,10.61,59.3,3.21,10.08,316.65,40.13,32.62,50.41,-7.27,-3.9
Mining,Oceania,India,2021,260.4,735.26,21.51,115.48,19.99,16.95,944.82,24917.59,78.74,67.74,4.51,9.7
Energy,Oceania,India,2006,41.98,413.92,57.83,91.7,47.02,9.33,1430.79,1611.87,24.56,97.26,1.39,1.31
Mining,Oceania,India,2020,172.36,334.25,7.08,184.15,14.91,12.24,1128.5,848.58,76.48,79.3,-3.67,6.7
Energy,Oceania,India,2022,4.27,951.74,13.57,22.75,4.93,2.42,710.56,14313.76,27.09,16.91,14.4,-0.58
Mining,Oceania,India,2014,29.69,64.91,31.37,177.65,9.98,9.54,43.82,23641.96,42.56,59.25,-7.05,9.3
Mining,Oceania,India,2020,173.77,44.58,49.9,3.52,6.31,3.35,1016.91,22166.03,57.71,1.81,-3.46,1.51
Mining,Oceania,India,2007,126.69,277.25,70.35,125.35,8.3,15.39,36.43,4298.88,71.74,71.36,4.08,-4.6
Manufacturing,Oceania,India,2011,65.06,674.92,45.9,70.12,1.16,5.22,906.04,17339.12,26.6,20.89,-1.26,-3.41
Construction,Oceania,India,2015,231.38,612.72,9.61,129.43,1.28,13.05,1329.69,17141.34,77.36,13.22,-6.13,-3.33
Energy,Oceania,India,2006,82.12,887.79,4.74,3.73,18.97,17.74,887.82,8024.42,27.03,64.67,5.65,0.55
Manufacturing,Oceania,India,2022,223.97,607.7,32.39,71.36,29.83,13.2,59.31,16304.14,44.19,12.98,7.74,-0.16
Energy,Oceania,India,2014,151.04,125.89,49.52,15.36,45.36,7.63,1085.6,19125.32,98.92,68.9,6.71,-4.6
Manufacturing,Oceania,India,2010,72.77,514.11,38.56,136.29,11.24,11.08,339.93,15035.05,55.43,97.53,-3.46,6.08
Energy,Oceania,India,2012,35.74,180.41,4.47,79.68,48.66,7.49,1467.97,2873.89,87.05,96.47,7.68,-2.2
Manufacturing,Oceania,India,2005,11.63,755.4,91.03,148.41,0.24,14.03,141.63,21064.32,88.64,33.4,-9.35,5.3
Construction,Oceania,India,2002,127.49,834.16,92.72,97.55,35.49,9.36,1458.67,23440.98,52.68,17.61,5.48,-0.52
Energy,Oceania,India,2009,1.29,226.94,44.02,16.49,39.43,6.23,393.18,15355.84,30.93,85.09,-5.65,1.08
Manufacturing,Oceania,India,2008,4.03,75.5,27.01,54.87,19.1,19.15,1220.82,24657,57.92,13.63,8.18,-3.46
Construction,Oceania,India,2020,26.13,266.33,58.82,58.35,33.62,1.38,510.37,21682.37,46.75,10.41,-7.96,1.13
Construction,Oceania,India,2008,131.38,803.8,54.7,134.31,1.33,8.82,1079.33,15053.84,85.94,52.9,-0.27,9.43
Mining,Oceania,India,2006,272.33,862.39,51.4,151.17,7.11,17.61,342.24,20860.96,65.68,78.5,-5.22,-1.78
Mining,Oceania,India,2002,3.49,49.69,47.3,196.21,46.72,6.33,80.4,12932.91,50.97,38.36,1.59,2.31
Construction,Oceania,India,2000,214.83,167.94,7.37,52.35,34.32,18.21,1332.03,14472.53,25.08,64.4,-1.97,-0.78
Manufacturing,Oceania,India,2021,141.57,882.7,19.39,40.32,40.64,8.26,473.49,9053.04,72.64,94.52,11.39,4.67
Construction,Oceania,India,2012,122,763.02,7.43,166.77,18,19.27,34.38,6353.93,49.11,47.28,-4.88,-0.9
Construction,Oceania,India,2019,18,708.42,93.15,161.87,43.06,1.27,1280.51,14858.6,61.3,53.95,4.87,8.09
Mining,Oceania,India,2001,86.99,932.15,77.58,9.45,8.65,19.83,113.59,1371.24,86.01,32.03,6.48,-0.72
Manufacturing,Oceania,India,2012,109.12,260.34,88.26,153.26,41.24,5.25,1462.73,16434.92,43.56,29.79,13.9,-4.92
Manufacturing,Oceania,India,2016,237.05,777.6,7.32,45.88,27.51,17.9,465.9,17849.66,51.01,97.72,9.28,-0.39
Energy,Oceania,India,2005,238.3,310.73,50.29,11.29,1.27,18.6,611.54,6705.72,39.87,52.6,8.78,4.5
Manufacturing,Oceania,India,2019,200.9,984.28,95.56,33.13,31.15,17.88,499.93,14167.8,92.11,13.59,-9.28,0.08
Mining,Oceania,India,2002,146.71,240.09,19.14,42.51,43.73,2.42,1376.22,15998.47,24.27,42.9,7.39,7.06
Construction,Oceania,India,2022,160.4,498.54,99.24,50.12,18.95,1.9,74.61,4717.75,22.27,63.49,1.46,7.68
Manufacturing,Oceania,India,2005,72.55,857.66,61.9,112.33,35.43,16.72,1352.91,16496.17,97.01,1.18,8.94,3.68
Manufacturing,Oceania,India,2005,255.09,237.81,3.44,65.03,12.19,11.39,687.27,6780.93,22.31,71.94,-4.52,1.25
Mining,Oceania,India,2018,15.83,830.49,24.79,66.91,3.92,14.41,374.38,6517.3,20.99,31.25,7.45,6.46
Manufacturing,Oceania,India,2009,92,749.02,82.35,87.99,31.62,11.52,668.74,19423.79,25.48,36.85,10.26,-0.5
Manufacturing,Oceania,India,2000,198.83,936.16,99.52,180.2,8.96,7.63,659.58,21140.96,58.19,94.87,11.35,-1.51
Manufacturing,Oceania,India,2019,157.22,898.55,56.44,2.91,20.69,4.69,219.91,15495.85,37.65,47.93,-7.56,-0.54
Mining,Oceania,India,2013,189.56,780.18,31.81,123.6,2.95,10.08,321.89,19992.26,86.99,46.78,-5.33,-1.54
Construction,Oceania,India,2015,186.81,320.54,13.92,188.27,26.09,15.56,283.24,23243.89,90.26,2.54,1.85,0.62
Construction,Oceania,India,2002,254.65,536.61,44.97,137.59,37.69,16.3,1484.7,5392.16,62.79,26.87,11.26,-1.08
Construction,Oceania,India,2009,76.55,365.49,95.44,37.31,17.75,14.49,1469.24,6733.54,27.74,67.45,7.65,1.97
Mining,Oceania,India,2018,203.47,770.52,8.36,130.28,35.48,1.08,992.39,1164.88,43.15,84.36,-1.99,0.69
Mining,Oceania,India,2000,47.5,654.82,43.14,57.98,17.1,3.65,659.17,21304.18,34.34,56.31,-7.47,-0.4
Manufacturing,Oceania,India,2000,248.56,671.2,12.87,148.13,17.18,18.36,725.2,6771.21,95.45,17.53,14.87,-3.89
Energy,Oceania,India,2014,182.84,537.41,33.09,80.53,24.13,9.7,539.54,7218,95.18,64.8,11.12,4.44
Energy,Oceania,India,2015,128.86,248.29,78.11,54.21,16.98,13.4,206.69,7167.46,84.8,69.97,5.16,0.53
Construction,Oceania,India,2008,174.14,500.6,93.66,169.74,1.74,19.38,1317.07,15464.42,40.9,11.38,11.72,-3.54
Construction,Oceania,India,2001,214.47,141.3,25.46,8.77,5.05,6.65,133.5,8028.41,98.87,83.99,-1.52,1.41
Energy,Oceania,India,2005,241.32,963.78,40.69,187.11,25.3,13.88,1061.6,19850.03,98.87,24.88,14.86,-0.89
Mining,Oceania,India,2021,177.58,718.36,2.58,29.33,31.9,14.47,1112.27,12361.36,88.64,64.07,-0.81,2.37
Construction,Oceania,India,2020,17.99,139.54,16.79,82.82,16.37,12.47,703.9,11846.34,41.84,53.53,-2.59,3.24
Manufacturing,Oceania,India,2011,47.5,685.58,53.45,115.68,3.02,8.06,444.69,15212.16,44.38,77.57,-7.32,2.77
Manufacturing,Oceania,India,2018,114.4,179.93,0.12,14.51,24.53,11.19,16.94,6699.55,53.47,38.75,10,-1.29
Manufacturing,Oceania,India,2019,194,627.68,17.34,182.03,9.47,19.56,1317.98,2753.95,44.62,98.79,2,-3.47
Manufacturing,Oceania,India,2017,169.93,719.08,98.15,112.04,8.88,7.32,1451.57,14894.83,63.95,81.72,-7.06,9.5
Mining,Oceania,India,2021,188.22,818.94,92.39,179.88,3.78,11.79,548.46,11298.79,74.5,41.68,2.79,0.49
Manufacturing,Oceania,India,2020,106.93,98.53,70.6,43.21,10.5,12.48,641.49,10109.29,34.14,6.02,-9.98,-0.32
Manufacturing,Oceania,India,2005,232.22,224.27,66.25,174.23,40.31,19.67,1039.61,6510.34,85.47,3.75,5.24,0.93
Energy,Oceania,India,2017,101.95,836.62,89.99,77.3,22.37,14.08,485.66,18367.08,68.06,53.93,-5.44,8.69
Construction,Oceania,India,2004,159.17,968.1,13.63,107.21,26.58,3.68,889.87,4589.99,99.85,72.37,12.8,-0.26
Manufacturing,Oceania,India,2001,286.62,677.21,19.04,57.63,13.56,1.49,1021.95,6211.43,22.55,83.34,5.38,-4.49
Manufacturing,Oceania,India,2010,137.42,175.29,23.42,155.18,40.84,4.15,353.16,21385.92,76.73,48.13,13.76,3.81
Manufacturing,Oceania,India,2012,153.01,95.81,72.03,169.64,15.14,2.24,1329.04,20544.93,43.84,86.93,-3.82,7.21
Manufacturing,Oceania,India,2001,242.9,702.08,41.03,59.71,45.59,2.03,1340.6,6695.83,80.76,10.81,-0.28,3.41
Manufacturing,Oceania,India,2009,108.53,210.61,71.75,38.96,28.21,13.19,368.71,5613.32,57.13,31.92,-4.89,-2.41
Manufacturing,Oceania,India,2016,38.82,895.03,3.95,76.89,45.64,5.3,552.74,3269.4,64.31,85.6,3.47,6.47
Manufacturing,Oceania,India,2020,27.76,287.52,24.07,71.04,10.86,0.98,556.11,24968.32,20.16,4.42,0.62,6.99
Mining,Oceania,India,2000,136.03,84.86,54.09,42.83,28.77,14.89,456.67,15338.92,95.81,78.11,14.56,2.1
Energy,Oceania,India,2012,105.61,215.93,59.48,63.9,28.09,6.62,225.26,15532.88,69.18,50.27,14.91,2.82
Construction,Oceania,India,2009,124,186.31,95.44,165.08,9.18,9.17,470.26,16540.04,88.35,67.02,1.99,8.15
Mining,Oceania,India,2016,144.76,261.14,82.81,179.85,3.77,17.26,400.23,13017.21,27.05,13.76,14.14,5.6
Mining,Oceania,India,2007,294.62,846.86,39.13,85.59,25.45,9.28,133.13,19388.16,27.92,6.58,14.58,3.29
Energy,Oceania,India,2019,77.51,150.4,53.22,114.93,6.45,7.75,487.34,16435.31,69.04,67.95,-4.09,-3.72
Mining,Oceania,India,2019,50.52,800.32,89.82,30.78,39.05,7.99,1258.97,19453.49,66.52,83.95,1.62,-2.55
Manufacturing,Oceania,India,2020,207.8,193.21,37.34,118.41,6.67,8.64,161.04,13324.4,51.67,6.09,-5.73,9.71
Energy,Oceania,India,2018,12.83,655.47,17.28,104.45,49.86,7.66,167.04,4278.69,63.24,51.58,11.23,-2.89
Manufacturing,Oceania,India,2009,129.27,464.7,1.73,63.38,0.15,10.27,685.45,3385.7,22.74,23.43,3.39,-1
Mining,Oceania,India,2003,16.84,247.92,8.91,11.35,6.29,2.77,1418.85,4150.52,67.29,78.21,7.44,4.66
Manufacturing,South America,India,2003,65.88,895.98,90,55.81,6.1,0.64,390.11,17181.06,65.15,20.04,13.28,-4.27
Energy,South America,India,2016,292.24,873.65,97.85,82.07,28.36,13.61,733.56,3307.49,77.17,75.97,14.73,7.7
Construction,South America,India,2002,201.69,448.15,23.26,67.62,33.34,3.67,858.33,19831.34,28.17,48.89,9.92,3.46
Energy,South America,India,2014,46.29,493.55,16.1,193.97,49.48,4.71,1013.99,21959.05,99.78,47.22,-2.26,-1.11
Energy,South America,India,2012,54.41,637.34,70.74,79.19,18.23,10.09,794.28,4975.86,94.53,17.08,6.62,9.68
Manufacturing,South America,India,2019,141.37,296.35,68.83,21.29,19.7,3.8,570.86,8731.02,70.92,32.14,9.56,5.75
Mining,South America,India,2021,116.48,697.1,25.68,177.87,19.62,15.35,1434.03,22950.53,55.4,51.01,0.32,3.04
Manufacturing,South America,India,2014,272.53,717.73,31.58,198.12,9.57,5.15,37.19,6274.08,77.7,17.16,-8.38,-3.38
Energy,South America,India,2004,114.08,489.56,32.62,130.56,36.17,17.28,728.43,9612.59,28.99,82.21,13.55,6.99
Mining,South America,India,2000,280.43,859.16,95.41,9.63,14.64,8.06,304.45,2493.8,21.52,77.91,-5.22,5.36
Energy,South America,India,2016,246.87,712.27,23.02,81.87,7.76,9.69,1047.03,11934.1,93.51,82.81,14.9,-0.34
Construction,South America,India,2019,141.26,645.41,48.46,89.25,35.57,6.68,917.73,13218.96,83.37,80.73,2.37,6.6
Energy,South America,India,2004,164.42,367.09,63.31,167.91,38.98,16.48,822.34,22931.26,54.5,77.22,6.62,5.24
Manufacturing,South America,India,2001,34.22,229.92,87.23,137.95,37.66,8.16,701.31,228.08,72.84,27.58,5.92,7.67
Construction,South America,India,2016,84.58,587.4,68.37,176.36,33.76,6.31,1258.15,13584.22,34.87,54.03,-2.76,-2.27
Energy,South America,India,2022,222.05,840.44,27.9,185.41,2,13.06,85.14,23577.04,37.19,26.42,-4.16,4.47
Energy,South America,India,2022,124.82,585.58,86.87,152.28,37.9,2.82,616.09,6002.76,49.92,57.21,12.74,8.08
Energy,South America,India,2011,169.7,184.46,30.33,102.73,26.69,13.24,1143.63,8586.89,40.66,99.59,12.24,-2.84
